"Source:","C:\Users\Grego\Desktop\USB C to ps2\USB C to ps2.kicad_sch"
"Date:","20/06/2022 09:23:41"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10u","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C2","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C3","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C4","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C5","22p","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C6","22p","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","F1","500mA","Device:Polyfuse_Small","Fuse:Fuse_1210_3225Metric","~"
"","","MINI_DIN_6P_JACK1","CN1","Connector:Mini-DIN-6","SamacSys_Parts:57492661","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf"
"","","R1","5.1k","Device:R_Small","Resistor_SMD:R_1206_3216Metric","~"
"","","R2","5.1k","Device:R_Small","Resistor_SMD:R_1206_3216Metric","~"
"","","R3","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R4","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R5","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R6","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R7","22","Device:R_Small","Resistor_SMD:R_1210_3225Metric","~"
"","","R8","22","Device:R_Small","Resistor_SMD:R_1210_3225Metric","~"
"","","SJ1","SJ1","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"","","SJ2","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"","","SJ3","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"","","SJ4","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~"
"","","U1","ATmega32U2-A","MCU_Microchip_ATmega:ATmega32U2-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc7799.pdf"
"","","USB1","HRO-TYPE-C-31-M-12","Type-C:HRO-TYPE-C-31-M-12","Designing Stuff:HRO-TYPE-C-31-M-12-Assembly",""
"","","X1","16MHz","Device:Crystal_GND2_Small","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10u","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"2","1","C2","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"3","2","C3, C4","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"4","2","C5, C6","22p","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"5","1","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"6","1","F1","500mA","Device:Polyfuse_Small","Fuse:Fuse_1210_3225Metric","~"
"7","1","MINI_DIN_6P_JACK1","CN1","Connector:Mini-DIN-6","SamacSys_Parts:57492661","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf"
"8","2","R1, R2","5.1k","Device:R_Small","Resistor_SMD:R_1206_3216Metric","~"
"9","4","R3, R4, R5, R6","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"10","2","R7, R8","22","Device:R_Small","Resistor_SMD:R_1210_3225Metric","~"
"11","1","SJ1","SJ1","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"12","3","SJ2, SJ3, SJ4","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"13","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~"
"14","1","U1","ATmega32U2-A","MCU_Microchip_ATmega:ATmega32U2-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc7799.pdf"
"15","1","USB1","HRO-TYPE-C-31-M-12","Type-C:HRO-TYPE-C-31-M-12","Designing Stuff:HRO-TYPE-C-31-M-12-Assembly",""
"16","1","X1","16MHz","Device:Crystal_GND2_Small","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"
